Team,Season,P,W,D,L,GF,GA,HW,HGF,HGA,AW,AGF,AGA,PTS,H_Att,A_Att,H_Def,A_Def,YC,RC,DIS,CS,GD,Rank
West Bromwich,18,38,6,13,19,31,56,3,21,29,3,10,27,31,0.7216494845360825,0.4587155963302752,1.3302752293577982,0.9278350515463917,73,1,1.013157894736842,10,-25,20
Stoke City,18,38,7,12,19,35,68,5,20,30,2,15,38,33,0.6872852233676975,0.6880733944954128,1.3761467889908257,1.3058419243986255,62,1,0.868421052631579,6,-33,19
Swansea City,18,38,8,9,21,28,56,6,17,24,2,11,32,33,0.5841924398625429,0.5045871559633027,1.1009174311926604,1.099656357388316,51,1,0.7236842105263158,9,-28,18
Southampton,18,38,7,15,16,37,56,4,20,26,3,17,30,36,0.6872852233676975,0.7798165137614679,1.1926605504587156,1.0309278350515463,62,2,0.9210526315789473,8,-19,17
Huddersfield,18,38,9,10,19,28,58,6,16,25,3,12,33,37,0.549828178694158,0.5504587155963302,1.146788990825688,1.134020618556701,59,3,0.9342105263157895,10,-30,16
Brighton & Hove,18,38,9,13,16,34,54,7,24,25,2,10,29,40,0.8247422680412371,0.4587155963302752,1.146788990825688,0.9965635738831615,54,2,0.8157894736842105,10,-20,15
Watford,18,38,11,8,19,44,64,7,27,31,4,17,33,41,0.9278350515463917,0.7798165137614679,1.4220183486238531,1.134020618556701,62,4,1.0263157894736843,9,-20,14
West Ham Utd,18,38,10,12,16,48,68,7,24,26,3,24,42,42,0.8247422680412371,1.1009174311926604,1.1926605504587156,1.443298969072165,72,2,1.0526315789473684,10,-20,13
Bournemouth,18,38,11,11,16,45,61,7,26,30,4,19,31,44,0.8934707903780068,0.8715596330275229,1.3761467889908257,1.0652920962199313,54,1,0.7631578947368421,6,-16,12
Crystal Palace,18,38,11,11,16,45,55,7,29,27,4,16,28,44,0.9965635738831615,0.7339449541284403,1.238532110091743,0.9621993127147765,72,0,0.9473684210526315,9,-10,11
Newcastle Utd,18,38,12,8,18,39,47,8,21,17,4,18,30,44,0.7216494845360825,0.8256880733944953,0.7798165137614679,1.0309278350515463,51,2,0.7763157894736842,9,-8,10
Leicester City,18,38,12,11,15,56,60,7,25,22,5,31,38,47,0.859106529209622,1.4220183486238531,1.0091743119266054,1.3058419243986255,48,5,0.8947368421052632,9,-4,9
Everton,18,38,13,10,15,44,58,10,28,22,3,16,36,49,0.9621993127147765,0.7339449541284403,1.0091743119266054,1.2371134020618555,49,3,0.8026315789473685,10,-14,8
Burnley,18,38,14,12,12,36,39,7,16,17,7,20,22,54,0.549828178694158,0.9174311926605504,0.7798165137614679,0.7560137457044673,65,0,0.8552631578947368,12,-3,7
Arsenal,18,38,19,6,13,74,51,15,54,20,4,20,31,63,1.8556701030927834,0.9174311926605504,0.9174311926605504,1.0652920962199313,57,2,0.8552631578947368,13,23,6
Chelsea,18,38,21,7,10,62,38,11,30,16,10,32,22,70,1.0309278350515463,1.4678899082568806,0.7339449541284403,0.7560137457044673,40,4,0.7368421052631579,16,24,5
Liverpool,18,38,21,12,5,84,38,12,45,10,9,39,28,75,1.5463917525773194,1.7889908256880735,0.4587155963302752,0.9621993127147765,44,1,0.631578947368421,17,46,4
Tottenham,18,38,23,8,7,74,36,13,40,16,10,34,20,77,1.374570446735395,1.5596330275229358,0.7339449541284403,0.6872852233676975,49,2,0.75,16,38,3
Manchester Utd,18,38,25,6,7,68,28,15,38,9,10,30,19,81,1.3058419243986255,1.3761467889908257,0.4128440366972477,0.6529209621993127,64,1,0.8947368421052632,19,40,2
Manchester City,18,38,32,4,2,106,27,16,61,14,16,45,13,100,2.0962199312714778,2.0642201834862384,0.6422018348623852,0.4467353951890034,57,2,0.8552631578947368,18,79,1
