Team,Ovr,Def,Mid,Fwd,Phy,Spd
Manchester City,84,83,86,85,76,80
Liverpool,83,82,82,85,75,79
Chelsea,83,82,83,85,77,78
Manchester United,83,81,82,85,78,78
Arsenal,82,81,82,84,76,77
Tottenham Hotspur,82,82,83,82,78,77
West Ham United,80,79,79,80,77,75
Everton,80,80,79,79,77,77
Leicester City,78,78,78,79,76,76
Crystal Palace,78,78,78,79,78,76
Bournemouth,77,77,76,77,75,78
Brighton & Hove Albion,77,76,77,78,76,76
Southampton,77,78,77,77,76,75
Watford,77,77,78,75,77,75
Newcastle United,77,76,77,77,76,76
Fulham,77,76,78,76,74,77
Burnley,76,76,76,75,75,72
Huddersfield Town,75,75,74,76,74,77
Cardiff City,74,73,75,73,77,76
