Team,P,W,D,L,GF,GA,HW,HGF,HGA,AW,AGF,AGA,PTS,H_Att,A_Att,H_Def,A_Def,YC,RC,DIS,CS
Arsenal,38,21,10,7,72,37,11,47,23,10,25,14,73,1.587837837837838,1.061571125265393,0.9766454352441614,0.47297297297297297,40,5,0.7894736842105263,14
Aston Villa,38,10,11,17,47,69,5,23,28,5,24,41,41,0.7770270270270271,1.019108280254777,1.1889596602972399,1.3851351351351353,70,3,1.0789473684210527,5
Chelsea,38,22,9,7,75,39,12,41,16,10,34,23,75,1.3851351351351353,1.4437367303609343,0.6794055201698513,0.7770270270270271,49,3,0.8026315789473685,14
Everton,38,16,15,7,55,40,12,33,17,4,22,23,63,1.114864864864865,0.9341825902335457,0.7218683651804672,0.7770270270270271,57,3,0.9078947368421053,11
Fulham,38,11,10,17,50,60,7,28,30,4,22,30,43,0.9459459459459459,0.9341825902335457,1.2738853503184715,1.0135135135135136,48,3,0.7894736842105263,8
Liverpool,38,16,13,9,71,43,9,33,16,7,38,27,61,1.114864864864865,1.6135881104033971,0.6794055201698513,0.9121621621621622,54,2,0.8157894736842105,16
Manchester City,38,23,9,6,66,34,14,41,15,9,25,19,78,1.3851351351351353,1.061571125265393,0.6369426751592357,0.6418918918918919,63,3,0.9868421052631579,18
Manchester Utd,38,28,5,5,86,43,16,45,19,12,41,24,89,1.5202702702702702,1.7409766454352442,0.8067940552016986,0.8108108108108107,57,1,0.8026315789473685,13
Newcastle Utd,38,11,8,19,45,68,9,24,31,2,21,37,41,0.8108108108108107,0.8917197452229301,1.316348195329087,1.25,69,4,1.118421052631579,6
Norwich City,38,10,14,14,41,58,8,25,20,2,16,38,44,0.8445945945945946,0.6794055201698513,0.8492569002123141,1.2837837837837838,60,1,0.8421052631578947,10
QP Rangers,38,4,13,21,30,60,2,13,28,2,17,32,25,0.4391891891891892,0.7218683651804672,1.1889596602972399,1.0810810810810811,58,3,0.9210526315789473,7
Reading,38,6,10,22,43,73,4,23,33,2,20,40,28,0.7770270270270271,0.8492569002123141,1.4012738853503186,1.3513513513513513,45,1,0.6447368421052632,5
Southampton,38,9,14,15,49,60,6,26,24,3,23,36,41,0.8783783783783784,0.9766454352441614,1.019108280254777,1.2162162162162162,43,2,0.6710526315789473,7
Stoke City,38,9,15,14,34,45,7,21,22,2,13,23,42,0.7094594594594595,0.5520169851380042,0.9341825902335457,0.7770270270270271,73,4,1.1710526315789473,12
Sunderland,38,9,12,17,41,54,5,20,19,4,21,35,39,0.6756756756756757,0.8917197452229301,0.8067940552016986,1.1824324324324325,60,3,0.9473684210526315,11
Swansea City,38,11,13,14,47,51,6,28,26,5,19,25,46,0.9459459459459459,0.8067940552016986,1.1040339702760085,0.8445945945945946,56,2,0.8421052631578947,10
Tottenham,38,21,9,8,66,46,11,29,18,10,37,28,72,0.9797297297297298,1.5711252653927814,0.7643312101910827,0.9459459459459459,54,2,0.8157894736842105,9
West Bromwich,38,14,7,17,53,57,9,32,25,5,21,32,49,1.0810810810810811,0.8917197452229301,1.061571125265393,1.0810810810810811,62,4,1.0263157894736843,8
West Ham Utd,38,12,10,16,45,53,9,34,22,3,11,31,46,1.1486486486486487,0.46709129511677283,0.9341825902335457,1.0472972972972974,74,1,1.0263157894736843,11
Wigan Athletic,38,9,9,20,47,73,4,26,39,5,21,34,36,0.8783783783783784,0.8917197452229301,1.6560509554140128,1.1486486486486487,66,2,0.9736842105263158,5
