Team,Season,Ovr,Def,Mid,Fwd,Phy,Spd
Chelsea,18,83,82,82,85,77,79
Manchester City,18,83,82,83,85,75,79
Manchester Utd,18,83,81,84,85,79,77
Arsenal,18,82,81,82,84,75,76
Tottenham,18,82,81,82,82,78,77
Liverpool,18,80,80,82,82,74,79
Everton,18,80,81,81,79,80,75
West Ham Utd,18,78,78,79,77,77,75
Leicester City,18,78,77,78,77,77,74
Crystal Palace,18,78,77,78,80,78,75
Southampton,18,77,78,77,78,75,75
Watford,18,77,76,77,78,78,74
Stoke City,18,77,77,78,76,76,74
Swansea City,18,77,76,77,77,77,76
West Bromwich,18,77,77,77,79,77,73
Bournemouth,18,76,75,76,76,74,78
Brighton & Hove,18,75,74,76,76,76,74
Burnley,18,75,75,76,75,75,73
Newcastle Utd,18,75,75,75,76,76,76
Huddersfield,18,74,74,73,74,74,76
